doc_id;date;speaker;city;country;subtitle;title;length;words_per_sentence;characters_per_word;flesch;flesch_grade;language;institution;source
2007-05-02 - ECB - Lucas Papademos.txt;2007-05-02;Lucas Papademos;;;Speech by Lucas Papademos, Vice President of the ECBat the Second International Symposium on Universal Values: “Science, Technology and Human Values”The Academy of Athens, Athens, 2 May 2007;Economic performance, institutions, and human values;;;;;;;ECB;
2007-04-23 - ECB - Lucas Papademos.txt;2007-04-23;Lucas Papademos;;;Introductory statement by Lucas Papademos,Vice-President of the ECBStrasbourg, 23 April 2007;Presentation of the ECB’s Annual Report 2006 to the Committee on Economic and Monetary Affairs of the European Parliament;;;;;;;ECB;
2007-04-19 - ECB - Lorenzo Bini Smaghi.txt;2007-04-19;Lorenzo Bini Smaghi;;;Speech by Lorenzo Bini Smaghi, Member of the Executive Board of the ECB*at the conferenceGood Governance and Effective PartnershipBudapest, Hungarian National Assembly, 19 April 2007;Central bank independence: from theory to practice;;;;;;;ECB;
2007-04-19 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-04-19;Jose Manuel Gonzalez-Paramo;;;Discurso pronunciado por José Manuel González-Páramo, miembro del Comité Ejecutivo del BCEXXVIII Simposio Internacional de Economía “Economic Policies that Work”Monterrey, 19 de abril de 2007;La Unión Monetaria Europea después de ocho años: ¿Qué hemos aprendido?;;;;;;;ECB;
2007-04-18 - ECB - Jean-Claude Trichet.txt;2007-04-18;Jean-Claude Trichet;;;Keynote address by Jean-Claude Trichet, President of the ECBat the 22nd Annual General Meeting of the International Swaps and Derivatives Association (ISDA)Boston, 18 April 2007;Some reflections on the development of credit derivatives;;;;;;;ECB;
2007-04-17 - ECB - Jean-Claude Trichet.txt;2007-04-17;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBNew York, 17 April 2007;Closing remarks at the conference organised by the European Commission and the Federal Reserve Bank of New York 'The euro and the dollar: pillars in global finance';;;;;;;ECB;
2007-04-16 - ECB - Jean-Claude Trichet.txt;2007-04-16;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBat a meeting organised by the Council on Foreign RelationsNew York, 16 April 2007;The International Financial Architecture – Where do we stand?;;;;;;;ECB;
2007-04-13 - ECB - Jean-Claude Trichet.txt;2007-04-13;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECB,at the invitation of the European Institute,Washington DC, 13 April 2007;Keynote luncheon remarks at the conference 'Transatlantic Roundtable on Finance and Monetary Affairs';;;;;;;ECB;
2007-03-28 - ECB - Lucas Papademos.txt;2007-03-28;Lucas Papademos;;;Introductory remarks by Lucas Papademos, Vice President of the ECB at the ECB press conference on the occasion of the first publication of the report Frankfurt am Main, 28 March 2007;Financial Integration in Europe - March 2007;;;;;;;ECB;
2007-03-26 - ECB - Lorenzo Bini Smaghi.txt;2007-03-26;Lorenzo Bini Smaghi;;;50 ans de construction européenneIntervention de Lorenzo Bini Smaghi, membre du directoire de la BCESciences POParis, le 26 mars 2007;L’Union Economique et Monétaire :Quelle place pour la Zone Euro sur la scène internationale?;;;;;;;ECB;
2007-03-23 - ECB - Lucas Papademos.txt;2007-03-23;Lucas Papademos;;;Speech by Lucas Papademos, Vice-President of the European Central Bank at the conference “Exploring the Future of Pension Finance and the Dynamics of Institutional Pension Reform”,Amsterdam, 23 March 2007;Population aging, financial markets and monetary policy;;;;;;;ECB;
2007-03-23 - ECB - Juergen Stark.txt;2007-03-23;Juergen Stark;;;Speech by Jürgen Stark, Member of the Executive Board of the ECBgiven at the conference “Fiscal Policy Challenges in Europe”organised by the German Ministry of Finance andCentre for European Economic Research23 March 2007;Fit for the future? Towards a lean and efficient public sector;;;;;;;ECB;
2007-03-23 - ECB - Gertrude Tumpel-Gugerell.txt;2007-03-23;Gertrude Tumpel-Gugerell;;;Presentation by Gertrude Tumpel-Gugerell, Member of the Executive Board of the European Central BankConference of the Facility for Euro-Mediterranean Investment and Partnership (FEMIP)entitled “Financial transfers from migrants in the Euro-Mediterranean area: a lever for development”Paris, 22–23 March 2007;Regulatory framework and payment systems issues;;;;;;;ECB;
2007-03-21 - ECB - Jean-Claude Trichet.txt;2007-03-21;Jean-Claude Trichet;;;Economic and Monetary Affairs Committee of the European ParliamentBrussels, 21 March 2007;Hearing of Jean-Claude Trichet, President of the European Central Bank;;;;;;;ECB;
2007-03-16 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-03-16;Jose Manuel Gonzalez-Paramo;;;Speech by José Manuel González-Páramo, Member of the Executive Board of the ECBSeminar, Suomen Pankki – Finlands BankHelsinki, 15 March 2007;Globalisation and monetary policy;;;;;;;ECB;
2007-03-14 - ECB - Lorenzo Bini Smaghi.txt;2007-03-14;Lorenzo Bini Smaghi;;;Speech by Lorenzo Bini Smaghi, Member of the Executive Board of the ECBat a dinner with members of the Internationaler Club Frankfurter WirtschaftsjournalistenFrankfurt, 14 March 2007;Introductory remarks at Internationaler Club Frankfurter Wirtschaftsjournalisten;;;;;;;ECB;
2007-03-12 - ECB - Gertrude Tumpel-Gugerell.txt;2007-03-12;Gertrude Tumpel-Gugerell;;;Presentation byGertrude Tumpel-GugerellMember of the Executive Board of the ECB2007 Washington Economic Policy ConferenceWashington, D.C., 12 March 2007;The competitiveness of European financial markets. An economic framework for effective policy-making;;;;;;;ECB;
2007-02-28 - ECB - Jean-Claude Trichet.txt;2007-02-28;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBConference entitled “Euro zone – converging or drifting apart?“organised by the European Parliament(Committee of Economic and Monetary Affairs)Open Debate with National ParliamentsBrussels, 28 February 2007;Governance and convergence: the state of play in the euro area;;;;;;;ECB;
2007-02-27 - ECB - Lorenzo Bini Smaghi.txt;2007-02-27;Lorenzo Bini Smaghi;;;Speech by Lorenzo Bini Smaghi, Member of the Executive Board of the ECBat the round table organised byHEC School of ManagementBrussels, 27 February 2007;The governance of the euro area (eight years on);;;;;;;ECB;
2007-02-16 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-02-16;Jose Manuel Gonzalez-Paramo;;;Discurso pronunciado por José Manuel González-Páramo, miembro del Comité Ejecutivo del BCEXVI Jornadas de las Cajas Rurales de la Comunidad de Valencia16 de febrero de 2007;Los retos de la banca minorista europea, con especial referencia al mercado hipotecario;;;;;;;ECB;
2007-02-16 - ECB - Gertrude Tumpel-Gugerell.txt;2007-02-16;Gertrude Tumpel-Gugerell;;;by Gertrude Tumpel-Gugerell, Member of the Executive Board of the ECB, on the occasion of the signing of the tripartite protocol between the European Central Bank, the Central Bank of Bosnia and Herzegovina and the Delegation of the European Commission to Bosnia and Herzegovina, Sarajevo,16 February 2007;Introductory statement to the Press conference in Sarajevo;;;;;;;ECB;
2007-02-15 - ECB - Jean-Claude Trichet.txt;2007-02-15;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBPresident of the European Central BankAmsterdam, 15 February 2007;How can the European economy succeed in an increasingly globalised world ?;;;;;;;ECB;
2007-02-15 - ECB - Lorenzo Bini Smaghi.txt;2007-02-15;Lorenzo Bini Smaghi;;;Presentation by Lorenzo Bini SmaghiMember of the Executive Board of the ECBThe current economic outlook in the euro area and EUat the Business Forecast EventGraduate School of Business University of Chicago Frankfurt am Main,14 February 2007;Slides from the presentation at the Business Forecast Event;;;;;;;ECB;
2007-02-13 - ECB - Gertrude Tumpel-Gugerell.txt;2007-02-13;Gertrude Tumpel-Gugerell;;;Speech by Gertrude Tumpel-Gugerell, Member of the Executive Board of the ECBColloquium « Mise en place du SEPA : quel bénéfice pour l'Europe ? »Sénat français, Palais du Luxembourg, Paris, 13 February 2007.;The European Central Bank’s view on SEPA;;;;;;;ECB;
2007-02-05 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-02-05;Jose Manuel Gonzalez-Paramo;;;Rede von José Manuel González-Páramo, Mitglied des Direktoriums der EZB4. Deutsch-Spanisches ForumDritter Veranstaltungsteil:Die Strategie von Lissabon – Kann und muss Europa seine Ziele erreichen?(La estrategia de Lisboa ¿Puede y debe Europa alcanzar sus objetivos?)Berlin, 5. Februar 2007;Strukturreformen in Europa: von Zielen zu Fakten;;;;;;;ECB;
2007-01-27 - ECB - Lorenzo Bini Smaghi.txt;2007-01-27;Lorenzo Bini Smaghi;;;Discorso di Lorenzo Bini Smaghi, Membro del Comitato esecutivo della BCEIntervento al Forum Economia e RisparmioMilano, 27 gennaio 2007;Lo scenario economico e finanziario per l’Europa;;;;;;;ECB;
2007-01-25 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-01-25;Jose Manuel Gonzalez-Paramo;;;Speech by José Manuel González-Páramo, Member of the Executive Board of the ECB30th Annual European Treasury SymposiumBerlin, 25 January 2007;The challenges to liquidity management in the euro area: the perspective of the ECB;;;;;;;ECB;
2007-01-25 - ECB - Juergen Stark.txt;2007-01-25;Juergen Stark;;;Speech by Jürgen Stark, Member of the Executive Board of the ECBon the occasion of the New Year’s Receptionat Deutsches Aktieninstitut e.V., BrusselsBrussels, 25 January 2007;Applause for 2006 should not abate policy efforts for 2007;;;;;;;ECB;
2007-01-19 - ECB - Juergen Stark.txt;2007-01-19;Juergen Stark;;;Speech by Jürgen Stark, Member of the Executive Board of the ECBConference on inflation targeting, Magyar Nemzeti Bank (MNB)Budapest, 19 January 2007;Objectives and challenges of monetary policy: a view from the ECB;;;;;;;ECB;
2007-01-18 - ECB - Lorenzo Bini Smaghi.txt;2007-01-18;Lorenzo Bini Smaghi;;;Speech by Lorenzo Bini Smaghi, Member of the Executive Board of the ECBat the European Economic and Financial CentreLondon, 18 January 2007;Global capital and national monetary policies;;;;;;;ECB;
2007-01-16 - ECB - Juergen Stark.txt;2007-01-16;Juergen Stark;;;Rede von Jürgen Stark, Mitglied des Direktoriums der EZBVortrag im Rahmen der Europa-Ringvorlesung “Die Zukunft Europas”Universität TübingenAktionsgemeinschaft Soziale MarktwirtschaftTübingen, 16. Januar 2007;Die Währungsunion als Klammer der EU?;;;;;;;ECB;
2007-01-15 - ECB - Jean-Claude Trichet.txt;2007-01-15;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBLjubljana, 15 January 2007;Speech at the Celebration “Welcome to the Euro”;;;;;;;ECB;
2007-01-15 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-01-15;Jose Manuel Gonzalez-Paramo;;;Speech by José Manuel González-Páramo, Member of the Executive Board of the ECBEuro Conference – Session:“The euro and the public at large”Ljubljana, 15 January 2007;Welcome to the euro, farewell to the tolar;;;;;;;ECB;
2007-01-15 - ECB - Gertrude Tumpel-Gugerell.txt;2007-01-15;Gertrude Tumpel-Gugerell;;;Speech by Gertrude Tumpel-Gugerell, Member of the Executive Board of the ECBLjubljana, 15 January 2007;Panel intervention at the Euro conference hosted by Banka Slovenije;;;;;;;ECB;
2007-01-15 - ECB - Jean-Claude Trichet.txt;2007-01-15;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBorganised by the Banka Slovenije and the European Central Bank in Ljubljana, 15 January 2007;"Keynote address at the ""€ conference Slovenia""";;;;;;;ECB;
